iso_code,continent,location,last_updated_date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
RUS,Europe,Russia,2022-12-03,21304497,384272,147218.64,2655.402,1.04,NA,NA,NA,NA,NA,NA,7765,53.658,NA,NA,NA,NA,NA,182824700,87235723,78495552,19491614,126.34,60.28,54.24,13.47,22.69,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,144713312,NA,NA,NA,NA
RWA,Africa,Rwanda,2022-12-03,132762,1467,9636.704,106.484,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,NA,69.02,0.543,13776702,NA,NA,NA,NA
SHN,Africa,Saint Helena,2022-12-03,1806,NA,334382.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.56,NA,5401,NA,NA,NA,NA
KNA,North America,Saint Kitts and Nevis,2022-12-03,6556,46,137497.116,964.745,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64297,NA,27000,3503,134.85,NA,56.63,7.35,NA,212.865,NA,NA,NA,24654.385,NA,NA,12.84,NA,NA,NA,2.3,76.23,0.779,47681,NA,NA,NA,NA
LCA,North America,Saint Lucia,2022-12-03,29711,408,165178.571,2268.28,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122977,60140,54971,NA,68.37,33.43,30.56,NA,NA,293.187,34.9,9.721,6.405,12951.839,NA,204.62,11.62,NA,NA,87.202,1.3,76.2,0.759,179872,NA,NA,NA,NA
SPM,North America,Saint Pierre and Miquelon,2022-12-03,3282,1,557689.04,169.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.07,NA,5885,NA,NA,NA,NA
VCT,North America,Saint Vincent and the Grenadines,2022-12-03,9474,116,91132.081,1115.825,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72979,37332,31446,4201,70.2,35.91,30.25,4.04,NA,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.738,103959,NA,NA,NA,NA
WSM,Oceania,Samoa,2022-12-03,15967,29,71797.293,130.402,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.413,22,5.606,3.564,6021.557,NA,348.977,9.21,16.7,38.1,NA,NA,73.32,0.715,222390,NA,NA,NA,NA
SMR,Europe,San Marino,2022-12-03,22167,119,657969.724,3532.205,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,NA,33690,NA,NA,NA,NA
STP,Africa,Sao Tome and Principe,2022-12-03,6278,77,27608.59,338.621,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,NA,NA,41.34,2.9,70.39,0.625,227393,NA,NA,NA,NA
