term,contrast,age_class_stand,weight_class_kg_stand,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted_lo,predicted_hi,predicted
sex,mean(M) - mean(F),40-44,85-90,97.3959531119442,7.023388771736966,13.867373183708446,9.98676018284102e-44,142.8448194475995,83.63036406991674,111.16154215397165,215.072091778055,312.4680448899992,312.4680448899992
sex,mean(M) - mean(F),40-44,90+,95.52749352625166,4.313976804037339,22.143719789325235,1.1991975474643106e-108,358.50616490995765,87.07225436019728,103.98273269230604,216.60195826199987,312.1294517882516,312.1294517882516
sex,mean(M) - mean(F),45-49,52-,33.52624216876265,9.024283391897933,3.715114066437979,2.0311204961053763e-4,12.26543654957709,15.838971734359745,51.213512603165555,146.88106745922457,180.40730962798722,180.40730962798722
sex,mean(M) - mean(F),45-49,52-60,47.379086566921515,4.505021666508316,10.516949767223512,7.217230875413104e-26,83.51868506051537,38.549406350992605,56.208766782850425,163.84009384610044,211.21918041302195,211.21918041302195
sex,mean(M) - mean(F),45-49,61-68,61.348942501902734,4.630234287507136,13.249641096440563,4.533661775705552e-40,130.69644702962825,52.27385005840627,70.4240349453992,198.47934192064125,259.828284422544,198.47934192064125
sex,mean(M) - mean(F),45-49,69-76,72.45584500033789,4.669111664286815,15.518122120432341,2.615951056923766e-54,177.99678157489882,63.30455429853986,81.60713570213592,124.57847140573568,197.03431640607357,124.57847140573568
sex,mean(M) - mean(F),45-49,77-84,76.10658400372017,5.08574042431429,14.964700840779074,1.24884218345824e-50,165.77581356968616,66.13871593734471,86.07445207009563,189.98079943892736,266.08738344264754,266.08738344264754
sex,mean(M) - mean(F),45-49,85-90,110.5458545190868,9.419690940973116,11.735613749092568,8.371682706450041e-32,103.23618140307546,92.08359952928129,129.00810950889232,183.07773764970673,293.62359216879355,293.62359216879355
sex,mean(M) - mean(F),45-49,90+,106.49598173098859,6.238719997695776,17.070165317616766,2.474980758482811e-65,214.61790885854666,94.26831522587506,118.72364823610212,208.83233727081796,315.32831900180656,315.32831900180656
sex,mean(M) - mean(F),50-54,52-,39.25259441506149,7.908194775694776,4.963534097023166,6.922188203698782e-7,20.46226849750567,23.75281747197192,54.75237135815105,137.3302911878331,176.5828856028946,176.5828856028946
sex,mean(M) - mean(F),50-54,52-60,39.63542293409832,4.686439049880531,8.457471123007293,2.7323817476530987e-17,55.02261855296696,30.450171180590374,48.82067468760627,146.851137266749,186.4865602008473,186.4865602008473
sex,mean(M) - mean(F),50-54,61-68,55.11248922257524,4.509830526186784,12.220523343961384,2.415248332425235e-34,111.67338369361468,46.273383814869824,63.95159463028066,159.37324504557955,214.48573426815477,214.48573426815477
sex,mean(M) - mean(F),50-54,69-76,72.05081683950483,4.332274419644103,16.63117565055443,4.143829647588571e-62,203.90857718781797,63.55971500585823,80.54191867315144,135.30259419938508,207.3534110388899,207.3534110388899
sex,mean(M) - mean(F),50-54,77-84,67.07355072080989,5.8363770121405825,11.492326589129926,1.4417582313579974e-30,99.13001358749585,55.634461976816866,78.51263946480292,153.99372033005704,221.06727105086694,221.06727105086694
sex,mean(M) - mean(F),50-54,85-90,90.84262878190106,9.208966099592685,9.864584992436779,5.927907451566463e-23,73.83682325841747,72.79338689184911,108.891870671953,141.5612300860932,232.40385886799424,232.40385886799424
sex,mean(M) - mean(F),50-54,90+,86.32202825325388,5.476596407392188,15.761984603564784,5.682027584508414e-56,183.52156747830406,75.58809653690373,97.05595996960402,195.27881747401796,281.60084572727186,281.60084572727186
sex,mean(M) - mean(F),55-59,52-,36.313081455312286,10.892255373184089,3.3338441131955423,8.56546476843208e-4,10.189180849419934,14.96465321345859,57.66150969716598,128.82108122410602,165.1341626794183,165.1341626794183
sex,mean(M) - mean(F),55-59,52-60,47.12118516667317,6.3134916719804455,7.463569703560245,8.420929649973119e-14,43.433013816346296,34.74696887289793,59.49540146044841,114.34472947631235,161.46591464298552,161.46591464298552
sex,mean(M) - mean(F),55-59,61-68,52.54798009535831,7.22074324641158,7.277364434952393,3.4040478560664434e-13,41.41781391413098,38.39558339078079,66.70037679993584,139.9267847843526,192.47476487971093,139.9267847843526
sex,mean(M) - mean(F),55-59,69-76,58.792084270306106,9.840094646707781,5.974747843505376,2.3044634324259424e-9,28.692921979033034,39.505853158293476,78.07831538231873,140.10217124092924,198.89425551123534,198.89425551123534
sex,mean(M) - mean(F),55-59,77-84,71.11969899084836,8.490203739501137,8.376677541901625,5.444274271243408e-17,54.02803786442923,54.47920544001885,87.76019254167787,140.814603068636,211.93430205948434,211.93430205948434
sex,mean(M) - mean(F),55-59,85-90,62.70490404108216,15.63558617629881,4.010396753537346,6.061680281880524e-5,14.009922714018547,32.05971825836416,93.35008982380016,162.7754873728051,225.48039141388725,225.48039141388725
sex,mean(M) - mean(F),55-59,90+,64.31139376282539,11.195440277201032,5.7444273892284885,9.223256235696139e-9,26.692076675378193,42.368734028442255,86.25405349720853,178.83801146160167,243.14940522442706,243.14940522442706
sex,mean(M) - mean(F),60+,52-,17.51256623504736,11.013739574398688,1.5900654011971664,0.11182006382534515,3.1607490213369482,-4.073966665877567,39.09909913597228,87.02517745131829,104.53774368636564,104.53774368636564
sex,mean(M) - mean(F),60+,52-60,39.352037927443035,5.115594270217335,7.692564313895669,1.4421494658832838e-14,45.97877263366822,29.3256573982976,49.37841845658847,99.6905274709756,139.04256539841862,139.04256539841862
sex,mean(M) - mean(F),60+,61-68,46.42120784345005,5.078451638688484,9.140819120892205,6.198106033154526e-20,63.806734461926425,36.467625534392205,56.37479015250789,108.11427847134323,154.53548631479327,154.53548631479327
sex,mean(M) - mean(F),60+,69-76,58.43400245218529,6.504416101913206,8.983742973484974,2.6170865981807125e-19,61.72867213957488,45.685581151973,71.18242375239758,114.88899372973366,173.32299618191894,173.32299618191894
sex,mean(M) - mean(F),60+,77-84,63.07641291931495,6.886898883877762,9.158899235035511,5.242937216256601e-20,64.04818662794439,49.578339141745445,76.57448669688445,121.17334687557606,184.24975979489102,184.24975979489102
sex,mean(M) - mean(F),60+,85-90,27.649133391082277,11.447452259207061,2.4153089058610733,0.015721869786931107,5.991083383633727,5.2125392482947674,50.085727533869786,157.2054876449334,184.8546210360157,184.8546210360157
sex,mean(M) - mean(F),60+,90+,83.14457409809904,7.195740951219133,11.554692513494714,6.9897211408694696e-31,100.17453604194611,69.04118099162956,97.24796720456852,118.2039034980111,201.34847759611014,201.34847759611014
